,Station,Station ID,Province,Index_col,Monthly Range,Daily Range
1337,UNCAS,27018,AB,1337,1995-01-01|2007-11-01,1995-01-01|2021-02-25
1338,UNIVERSITY OF ALBERTA METABOLIC CENTRE,1801,AB,1338,1986-01-01|2007-11-01,1986-10-01|2019-04-04
1339,UNIVERSITY OF CALGARY,2320,AB,1339,1964-01-01|1990-12-01,1964-11-01|1990-06-30
1340,UNOCAL KAKWA,6864,AB,1340,1993-01-01|1993-12-01,1993-02-01|1993-07-31
1341,UPPER HAY RIVER RS,2810,AB,1341,1965-01-01|1972-12-01,1965-11-01|1972-06-30
1342,UPPER SASKATCHEWAN RS,2442,AB,1342,1959-01-01|1965-12-01,1959-05-01|1965-11-30
1343,UPR PARKER RIDGE,27652,AB,1343,|,1998-06-01|2007-11-30
1344,VALLEYVIEW AGDM,32460,AB,1344,2002-12-01|2007-11-01,2002-11-01|2021-02-25
1345,VALLEYVIEW RS,2811,AB,1345,1962-01-01|2007-11-01,1962-05-01|2009-01-31
1346,VAUXHALL,2321,AB,1346,1913-01-01|1957-12-01,1913-10-01|1957-02-28
1347,VAUXHALL CDA,2322,AB,1347,1953-01-01|1991-11-01,1953-05-01|1991-05-31
1348,VAUXHALL CDA CS,10889,AB,1348,1996-04-01|2007-11-01,1993-06-04|2020-12-05
1349,VAUXHALL NORTH,2323,AB,1349,1982-01-01|2007-11-01,1982-06-01|2009-12-31
1350,VEGA,2623,AB,1350,1970-01-01|1982-12-01,1970-10-01|1982-11-30
1351,VEGA LO,2624,AB,1351,1969-01-01|2007-09-01,1969-05-01|2011-09-15
1352,VEGREVILLE,1995,AB,1352,1919-01-01|1970-12-01,1918-05-01|1970-10-31
1353,VEGREVILLE,1977,AB,1353,1980-01-01|2007-11-01,1980-11-01|2021-02-25
1354,VEGREVILLE CDA,1996,AB,1354,1956-01-01|1994-12-01,1956-06-01|1994-10-31
1355,VENICE,2626,AB,1355,1981-01-01|2007-11-01,1981-05-01|2008-02-29
1356,VERGER,53078,AB,1356,|,2018-05-14|2021-02-25
1357,VERMILION,1997,AB,1357,1906-01-01|1940-12-01,1906-09-01|1940-07-31
1358,VERMILION A,1998,AB,1358,1945-01-01|1982-12-01,1945-08-01|1982-03-31
1359,VERMILION AGDM,32461,AB,1359,2002-12-01|2007-11-01,2002-11-01|2021-02-25
1360,VERMILION RIVER,1999,AB,1360,1980-01-01|1984-12-01,1980-10-01|1984-09-30
1361,VERMILION TOWN,41735,AB,1361,2003-05-01|2003-09-01,2003-05-01|2003-09-30
1362,VERMILION UNION,2000,AB,1362,1961-01-01|1972-12-01,1961-07-01|1972-03-31
1363,VETERAN,2001,AB,1363,1988-01-01|2007-10-01,1988-06-01|2007-10-31
1364,VICARY CREEK,9608,AB,1364,1998-04-01|2007-11-01,1998-02-01|2007-11-30
1365,VIKING,2002,AB,1365,1922-01-01|1997-08-01,1922-05-01|1997-08-31
1366,VIKING AGCM,46852,AB,1366,2007-09-01|2007-11-01,2007-09-01|2021-02-25
1367,VIKING NORTH,2003,AB,1367,1969-01-01|1974-12-01,1969-05-01|1974-10-31
1368,VIKING NORTH 2,27463,AB,1368,1997-12-01|1998-10-01,1997-12-01|1998-10-31
1369,VIKING NORTH 3,27715,AB,1369,1998-08-01|2007-11-01,1998-08-01|2016-06-13
1370,VILNA,2004,AB,1370,1958-01-01|1969-12-01,1958-09-01|1969-10-31
1371,VILNA AGCM,47110,AB,1371,|,2008-06-05|2021-02-25
1372,VINERIPE GREENHOUSE,6857,AB,1372,1992-01-01|1993-12-01,1992-01-01|1993-08-31
1373,VIOLET GROVE CS,30643,AB,1373,2000-12-01|2007-11-01,2000-11-28|2021-02-25
1374,VULCAN,2325,AB,1374,1974-01-01|2000-11-01,1974-10-01|2000-11-30
1375,VULCAN,2324,AB,1375,1921-01-01|1968-12-01,1921-05-01|1968-05-31
1376,VULCAN SMITH,6858,AB,1376,1992-01-01|1994-12-01,1992-09-01|1994-12-31
1377,WABAMUN,2005,AB,1377,1906-01-01|1940-12-01,1906-06-01|1940-09-30
1378,WABASCA,2812,AB,1378,1915-01-01|1947-12-01,1915-04-01|1947-04-30
1379,WABASCA RS,2813,AB,1379,1962-01-01|2007-11-01,1962-05-01|2009-01-31
1380,WADLIN LO,2814,AB,1380,1967-01-01|2007-08-01,1967-05-01|2011-08-22
1381,WAGNER,2627,AB,1381,1944-01-01|1971-12-01,1944-02-01|1971-11-30
1382,WAINWRIGHT,2006,AB,1382,1961-01-01|1965-12-01,1961-10-01|1965-01-31
1383,WAINWRIGHT,2007,AB,1383,1966-01-01|1970-12-01,1966-05-01|1970-11-30
1384,WAINWRIGHT A,10712,AB,1384,|,|
1385,WAINWRIGHT CFB AIRFIELD 21,26888,AB,1385,2003-01-01|2007-11-01,1995-10-06|2021-02-25
1386,WAINWRIGHT CR10,27220,AB,1386,1996-04-01|2002-12-01,1996-04-01|2002-12-31
1387,WAINWRIGHT HEATH,2008,AB,1387,1973-01-01|1990-12-01,1973-06-01|1990-07-31
1388,WAINWRIGHT SNOW,43151,AB,1388,2004-11-01|2007-01-01,2004-11-01|2007-01-31
1389,WAIPAROUS,31168,AB,1389,2001-07-01|2004-07-01,2001-07-01|2004-07-31
1390,WANDERING RIVER RS,2628,AB,1390,1962-01-01|2007-10-01,1962-05-01|2008-10-31
1391,WANHAM CDA,2815,AB,1391,1955-01-01|1996-03-01,1955-01-01|1996-03-31
1392,WARNER,2354,AB,1392,1955-01-01|1966-12-01,1955-01-01|1966-10-31
1393,WARNER AGCM,51497,AB,1393,|,2018-05-14|2021-02-25
1394,WARNER EAST,2355,AB,1394,1963-01-01|1967-12-01,1963-09-01|1967-01-31
1395,WARNER WEST,2356,AB,1395,1978-01-01|2004-09-01,1978-10-01|2004-09-30
1396,WARWICK,2009,AB,1396,1961-01-01|1988-12-01,1961-07-01|1988-11-30
1397,WASKATENAU,2010,AB,1397,1969-01-01|1973-12-01,1969-11-01|1973-07-31
1398,WASTINA HEMARUKA,2011,AB,1398,1913-01-01|1977-12-01,1913-03-01|1977-05-31
1399,WASTINA YOUNGSTOWN,2012,AB,1399,1978-01-01|1981-12-01,1977-12-01|1981-09-30
1400,WATERTON DAM,27657,AB,1400,2002-03-01|2006-12-01,1998-06-01|2007-11-30
1401,WATERTON LAKES BAKER,2443,AB,1401,1970-01-01|1971-12-01,1970-11-01|1971-05-31
1402,WATERTON LAKES BELLY R,2444,AB,1402,1940-01-01|1967-12-01,1905-10-01|1967-09-30
1403,WATERTON LAKES CAMERON L,2445,AB,1403,1940-01-01|1955-12-01,1940-06-01|1955-08-31
1404,WATERTON LAKES CEDAR CAB,2446,AB,1404,1940-01-01|1949-12-01,1940-05-01|1949-08-31
1405,WATERTON LAKES PASS CRK,2447,AB,1405,1944-01-01|1955-12-01,1944-01-01|1955-01-31
1406,WATERTON LAKES RED ROCK,2448,AB,1406,1940-01-01|1967-12-01,1940-05-01|1967-11-30
1407,WATERTON PARK GATE,26850,AB,1407,1996-01-01|2007-11-01,1994-07-06|2021-02-25
1408,WATERTON PARK HQ,2449,AB,1408,1944-01-01|1973-12-01,1944-01-01|1973-03-31
1409,WATERTON RED ROCK,8872,AB,1409,1998-04-01|2007-07-01,1998-02-01|2007-07-31
1410,WATERTON RIVER CABIN,2450,AB,1410,1949-01-01|1995-12-01,1949-09-01|1995-12-31
1411,WATINO,2817,AB,1411,1974-01-01|1997-09-01,1974-11-01|1997-09-30
1412,WATINO,2816,AB,1412,1963-01-01|1974-12-01,1962-09-01|1974-07-31
1413,WATT MOUNTAIN LO,2818,AB,1413,1957-01-01|2007-09-01,1957-04-01|2011-09-29
1414,WEST PADDLE,2630,AB,1414,1969-01-01|1970-12-01,1969-09-01|1970-06-30
1415,WESTCASTLE,8918,AB,1415,1999-03-01|2007-11-01,1999-03-01|2007-11-30
1416,WESTEROSE,2013,AB,1416,1961-01-01|1965-12-01,1961-07-01|1965-08-31
1417,WESTEROSE 2,2014,AB,1417,1980-01-01|1981-12-01,1980-08-01|1981-07-31
1418,WESTLOCK LITKE,6853,AB,1418,1993-01-01|2007-11-01,1993-08-01|2008-03-31
1419,WESTWARD HO,2165,AB,1419,1956-01-01|1958-12-01,1956-08-01|1958-10-31
1420,WETASKIWIN,2015,AB,1420,1902-01-01|1975-12-01,1902-11-01|1975-04-30
1421,WETASKIWIN AGCM,46853,AB,1421,2007-09-01|2007-11-01,2007-09-01|2021-02-25
1422,WETASKIWIN SOUTH,2016,AB,1422,1985-01-01|2007-11-01,1985-08-01|2008-03-31
1423,WHISKEY GAP,2357,AB,1423,1965-01-01|1985-12-01,1965-11-01|1985-04-30
1424,WHISTLER LO,2451,AB,1424,1967-01-01|1975-12-01,1967-07-01|1975-09-30
1425,WHITE MOUNTAIN LO,2821,AB,1425,1955-01-01|2007-09-01,1955-05-01|2011-09-01
1426,WHITECOURT,27658,AB,1426,1999-05-01|2007-10-01,1998-11-01|2016-04-21
1427,WHITECOURT,2631,AB,1427,1942-01-01|1978-12-01,1942-12-01|1978-07-31
1428,WHITECOURT A,52982,AB,1428,|,2018-10-29|2021-02-25
1429,WHITECOURT A,2632,AB,1429,1978-01-01|2007-11-01,1978-07-01|2019-08-01
1430,WHITECOURT A,51444,AB,1430,|,2014-05-29|2018-10-29
1431,WHITECOURT FOREST HQ,2633,AB,1431,1965-01-01|1966-12-01,1965-05-01|1966-09-30
1432,WHITECOURT LO,2634,AB,1432,1939-01-01|2007-09-01,1939-04-01|2011-09-29
1433,WHITEFISH LO,2819,AB,1433,1958-01-01|2007-08-01,1958-05-01|2011-08-23
1434,WHITELAW,2820,AB,1434,1980-01-01|1981-12-01,1980-11-01|1981-06-30
1435,WHITEMUD GRAZING,2822,AB,1435,1967-01-01|1970-12-01,1967-11-01|1970-10-31
1436,WHITEMUD LO,2823,AB,1436,1954-01-01|2007-09-01,1954-06-01|2011-09-28
1437,WHITESAND AFS,27261,AB,1437,1996-04-01|2007-09-01,1996-04-01|2011-09-30
1438,WHITESAND LO,2824,AB,1438,1968-01-01|1996-07-01,1968-06-01|1996-07-31
1439,WHITLA,2326,AB,1439,1917-01-01|1968-12-01,1917-04-01|1968-11-30
1440,WILDCAT HILLS,43363,AB,1440,2006-04-01|2007-11-01,2005-01-17|2016-07-02
1441,WILDHAY,2635,AB,1441,1989-01-01|2007-09-01,1989-06-01|2011-09-01
1442,WILDWOOD,2636,AB,1442,1955-01-01|1959-12-01,1955-02-01|1959-10-31
1443,WILDWOOD NEWBERY,2629,AB,1443,1980-01-01|1998-01-01,1980-08-01|1998-01-31
1444,WILDWOOD NORTH,2637,AB,1444,1969-01-01|1970-12-01,1969-09-01|1970-12-31
1445,WILDWOOD SOUTH,2638,AB,1445,1969-01-01|1970-12-01,1969-09-01|1970-01-31
1446,WILLOUGHBY RIDGE,10693,AB,1446,1998-04-01|2007-11-01,1998-02-01|2007-11-30
1447,WILLOW CREEK,2452,AB,1447,1960-01-01|2007-08-01,1960-07-01|2011-09-17
1448,WILLOW CREEK 1,10930,AB,1448,1996-04-01|2007-11-01,1993-11-30|2021-02-25
1449,WIMBORNE AGCM,46729,AB,1449,2007-09-01|2007-11-01,2007-09-01|2021-02-25
1450,WIMBORNE GAS PLANT,2166,AB,1450,1965-01-01|1976-12-01,1965-12-01|1976-01-31
1451,WINDFALL AFS,27263,AB,1451,1996-05-01|2007-09-01,1996-05-01|2011-09-01
1452,WINEFRED LO,2639,AB,1452,1957-01-01|2007-08-01,1957-05-01|2008-08-30
1453,WINFIELD,2017,AB,1453,1970-01-01|2006-08-01,1970-05-01|2006-08-31
1454,WINNIFRED,2327,AB,1454,1928-01-01|1967-12-01,1928-12-01|1967-01-31
1455,WINTERBURN KOZAK,2018,AB,1455,1991-01-01|1991-11-01,1990-12-01|1991-08-31
1456,WINTERBURN LAKESHORE A,2019,AB,1456,1964-01-01|1964-12-01,1964-04-01|1964-06-30
1457,WOKING CDA,2826,AB,1457,1981-01-01|1995-12-01,1981-08-01|1995-12-31
1458,WOLF LO,2640,AB,1458,1956-01-01|1975-12-01,1956-06-01|1975-08-31
1459,WOODHOUSE,2328,AB,1459,1981-01-01|1983-12-01,1981-04-01|1983-09-30
1460,WORSLEY,2827,AB,1460,1957-01-01|1957-12-01,1956-12-01|1957-03-31
1461,WORSLEY RS,2828,AB,1461,1962-01-01|1985-12-01,1962-04-01|1985-10-31
1462,WORSLEY-KOZACK,6865,AB,1462,1993-01-01|2007-11-01,1993-05-01|2011-07-30
1463,WOSTOK,2020,AB,1463,1989-01-01|1999-05-01,1989-05-01|1999-05-31
1464,WRENTHAM AGDM,31412,AB,1464,2002-07-01|2007-11-01,2002-07-01|2021-02-25
1465,WRITING ON STONE PARK,2358,AB,1465,1981-01-01|1988-12-01,1981-04-01|1988-09-30
1466,YA HA TINDA  AFS,27029,AB,1466,1995-06-01|2007-09-01,1995-06-01|2011-09-30
1467,YATES LO,2829,AB,1467,1969-01-01|2007-08-01,1969-05-01|2011-08-07
1468,YELLOWHEAD LO,2641,AB,1468,1957-01-01|2007-09-01,1957-08-01|2011-09-01
1469,YEOFORD,2021,AB,1469,1963-01-01|1969-12-01,1963-06-01|1969-08-31
1470,YOUNGSTOWN,2022,AB,1470,1918-01-01|1955-12-01,1918-09-01|1955-09-30
1471,YOUNGSTOWN AGCM,49949,AB,1471,|,2018-05-14|2021-02-25
1472,ZAMA LO,2830,AB,1472,1961-01-01|2007-09-01,1961-04-01|2011-09-01
1473,100 MILE HOUSE,1308,BC,0,1970-01-01|1999-11-01,1970-05-01|1999-11-30
1474,100 MILE HOUSE,625,BC,1,1957-01-01|1959-12-01,1957-06-01|1959-08-31
1475,100 MILE HOUSE 6NE,1309,BC,2,1987-01-01|2007-02-01,1987-06-01|2021-02-24
1476,108 MILE HOUSE,626,BC,3,1970-01-01|1973-12-01,1970-05-01|1973-07-31
1477,108 MILE HOUSE ABEL LAKE,559,BC,4,1987-01-01|2007-02-01,1987-07-01|2020-11-19
1478,108 MILE HOUSE WATSON LAKE,1224,BC,5,1987-01-01|1989-12-01,1987-07-01|1989-12-31
1479,150 MILE HOUSE,627,BC,6,1947-01-01|1963-12-01,1947-10-01|1963-09-30
1480,150 MILE HOUSE 7N,628,BC,7,1969-01-01|1975-12-01,1969-01-01|1975-01-31
1481,70 MILE HOUSE,1321,BC,8,1974-01-01|1987-12-01,1974-05-01|1987-06-30
1482,ABBOTSFORD,701,BC,9,1956-01-01|1956-12-01,1956-04-01|1956-12-31
1483,ABBOTSFORD A,702,BC,10,1944-01-01|2012-06-01,1944-10-01|2012-06-20
1484,ABBOTSFORD A,50308,BC,11,|,2012-06-21|2021-02-25
1485,ABBOTSFORD A,54238,BC,12,|,2018-10-29|2021-02-25
1486,ABBOTSFORD EAST,703,BC,13,1960-01-01|1962-12-01,1960-11-01|1962-12-31
1487,ABBOTSFORD KING ROAD,704,BC,14,1968-01-01|1973-12-01,1968-11-01|1973-03-31
1488,ABBOTSFORD UPPER SUMAS,705,BC,15,1935-01-01|1946-12-01,1935-11-01|1946-03-31
1489,ABERFELDIE,1166,BC,16,1950-01-01|1982-12-01,1950-05-01|1982-05-31
1490,ACTIVE PASS,14,BC,17,1984-01-01|1996-11-01,1984-07-01|1996-11-30
1491,ADAMS LAKE SKWAAM BAY,1225,BC,18,1972-01-01|1975-12-01,1972-06-01|1975-08-31
1492,ADDENBROKE ISLAND,374,BC,19,1978-01-01|2007-02-01,1978-01-01|2021-02-25
1493,ADRA,983,BC,20,1928-01-01|1953-12-01,1928-09-01|1953-08-31
1494,AGASSIZ CDA,707,BC,21,1889-01-01|2007-02-01,1889-10-01|2021-01-30
1495,AGASSIZ MOUNTAIN INSTITUTE,708,BC,22,1986-01-01|1995-05-01,1986-04-01|1995-05-31
1496,AGASSIZ RCS,706,BC,23,1988-01-01|2006-11-01,1988-11-01|2021-02-25
1497,AIYANSH,452,BC,24,1924-01-01|1971-12-01,1924-01-01|1971-09-30
1498,AIYANSH 2SE,453,BC,25,1974-01-01|1985-12-01,1974-07-01|1985-08-31
1499,ALBERNI BEAVER CREEK,221,BC,26,1894-01-01|1959-12-01,1894-05-01|1959-02-28
1500,ALBERNI CITY RESERVOIR,222,BC,27,1962-01-01|1963-12-01,1962-03-01|1963-12-31
1501,ALBERNI LUPSI CUPSI,223,BC,28,1948-01-01|1974-12-01,1948-11-01|1974-12-31
1502,ALBERNI MCCOY LAKE,224,BC,29,1958-01-01|1973-12-01,1958-10-01|1973-08-31
1503,ALBERNI ROBERTSON CREEK,225,BC,30,1961-01-01|2007-02-01,1961-02-01|2021-01-30
1504,ALBERT HEAD,15,BC,31,1971-01-01|1995-04-01,1971-06-01|1995-04-30
1505,ALBREDA,1351,BC,32,1973-01-01|1977-12-01,1973-06-01|1977-03-31
1506,ALDERGROVE,709,BC,33,1953-01-01|1980-12-01,1953-04-01|1980-06-30
1507,ALDERGROVE 2,710,BC,34,1980-01-01|1989-12-01,1980-06-01|1989-06-30
1508,ALDERGROVE 48 AVENUE,711,BC,35,1987-01-01|1991-11-01,1987-03-01|1991-11-30
1509,ALDERGROVE CENTRE,699,BC,36,1986-01-01|1989-12-01,1986-09-01|1989-03-31
1510,ALERT BAY,137,BC,37,1913-01-01|1994-12-01,1913-12-01|2006-12-05
1511,ALEXIS CREEK,499,BC,38,1954-01-01|1956-12-01,1954-07-01|1956-07-31
1512,ALEXIS CREEK,500,BC,39,1973-01-01|1995-05-01,1973-08-01|1995-05-31
1513,ALEXIS CREEK,501,BC,40,1919-01-01|1963-12-01,1919-10-01|1963-09-30
1514,ALEXIS CREEK TAUTRI CRK,502,BC,41,1961-01-01|1983-12-01,1961-02-01|1983-09-30
1515,ALEZA LAKE,565,BC,42,1952-01-01|1980-12-01,1952-02-01|1980-07-31
1516,ALICE ARM,376,BC,43,1973-01-01|1978-12-01,1973-06-01|1978-09-30
1517,ALICE ARM,375,BC,44,1948-01-01|1964-12-01,1948-01-01|1964-09-30
1518,ALKALI LAKE,566,BC,45,1910-01-01|1922-12-01,1910-09-01|1922-03-31
1519,ALLISON PASS,938,BC,46,1958-01-01|1972-12-01,1958-09-01|1972-10-31
1520,ALLISON PASS DOH,939,BC,47,1974-01-01|1989-12-01,1974-11-01|1989-05-31
1521,ALOUETTE LAKE,712,BC,48,1924-01-01|1982-12-01,1924-01-01|1982-12-31
1522,ALOUETTE POWER HOUSE,713,BC,49,1935-01-01|1949-12-01,1935-07-01|1949-03-31
1523,ALTA LAKE,291,BC,50,1950-01-01|1976-12-01,1950-10-01|1976-03-31
1524,ALTA LAKE 2,293,BC,51,1931-01-01|1969-12-01,1931-11-01|1969-09-30
1525,ALTA LAKE NORTHAIR MINE,292,BC,52,1975-01-01|1987-12-01,1975-12-01|1987-07-31
1526,AMPHITRITE POINT,227,BC,53,1980-01-01|1999-08-01,1980-05-01|2010-03-01
1527,AMPHITRITE POINT,226,BC,54,1958-01-01|1980-12-01,1958-01-01|1980-04-30
1528,ANAHIM LAKE,504,BC,55,1975-01-01|1994-12-01,1975-07-01|1994-03-31
1529,ANAHIM LAKE,503,BC,56,1954-01-01|1967-12-01,1954-09-01|1967-06-30
1530,ANAHIM LAKE 5 MILE RANCH,505,BC,57,1980-01-01|1988-12-01,1980-09-01|1988-07-31
1531,ANNACIS ISLAND,714,BC,58,1954-01-01|1962-12-01,1954-10-01|1962-03-31
1532,ANVIL ISLAND,294,BC,59,1956-01-01|1963-12-01,1956-10-01|1963-06-30
1533,ANYOX,377,BC,60,1916-01-01|1935-12-01,1916-05-01|1935-06-30
1534,APEX MTN LODGE,984,BC,61,1965-01-01|1971-12-01,1965-06-01|1971-09-30
1535,ARAWANA,982,BC,62,1970-01-01|1976-12-01,1970-12-01|1976-06-30
1536,ARGENTA,1099,BC,63,1957-01-01|1974-12-01,1957-11-01|1974-06-30
1537,ARMSTRONG,1226,BC,64,1912-01-01|1992-12-01,1912-01-01|1992-09-30
1538,ARMSTRONG GRANDVIEW,985,BC,65,1959-01-01|1960-12-01,1959-03-01|1960-06-30
1539,ARMSTRONG HULLCAR,1227,BC,66,1971-01-01|1998-12-01,1971-07-01|1998-12-31
1540,ARMSTRONG NORTH,1228,BC,67,1972-01-01|1993-12-01,1972-10-01|1993-12-31
1541,ARMSTRONG OTTER LAKE,6943,BC,68,1991-01-01|1992-12-01,1991-04-01|1992-09-30
1542,ARRAS,1391,BC,69,1970-01-01|1988-12-01,1970-04-01|1988-09-30
1543,ASH RIVER,228,BC,70,1958-01-01|1959-12-01,1957-07-01|1959-11-30
1544,ASH RIVER GENERATING STN,229,BC,71,1959-01-01|1969-12-01,1959-10-01|1969-06-30
1545,ASHCROFT,1230,BC,72,1973-01-01|1989-12-01,1973-05-01|1989-11-30
1546,ASHCROFT,1229,BC,73,1912-01-01|1969-12-01,1912-09-01|1970-01-31
1547,ASHCROFT,48708,BC,74,|,2010-06-16|2021-02-25
1548,ASHCROFT M,1232,BC,75,1944-01-01|1972-12-01,1944-11-01|1972-08-31
1549,ASHCROFT NORTH,1231,BC,76,1980-01-01|1986-12-01,1980-08-01|1986-09-30
1550,ASHCROFT VENABLES VLY,1233,BC,77,1984-01-01|1987-12-01,1984-06-01|1987-01-31
1551,ATLIN,1485,BC,78,1899-01-01|2007-02-01,1899-03-01|2021-02-24
1552,ATNARKO PARKS CAMP,506,BC,79,1979-01-01|1981-12-01,1979-08-01|1981-08-31
1553,AVOLA,1234,BC,80,1974-01-01|1982-12-01,1974-05-01|1982-02-28
1554,BABINE LAKE FISHERIES,454,BC,81,1912-01-01|1936-12-01,1912-09-01|1936-07-31
1555,BABINE LAKE HALIFAX BAY,455,BC,82,1972-01-01|1973-12-01,1972-05-01|1973-10-31
1556,BABINE LAKE PINKUT CREEK,456,BC,83,1969-01-01|2007-02-01,1968-12-01|2012-02-28
1557,BAKER MINE,1392,BC,84,1980-01-01|1983-12-01,1980-11-01|1983-11-30
1558,BALDONNEL,1393,BC,85,1927-01-01|1993-12-01,1927-01-01|1993-10-31
1559,BALDY HUGHES,567,BC,86,1980-01-01|1984-12-01,1980-08-01|1984-07-31
1560,BALLENAS ISLAND,138,BC,87,1967-01-01|2007-02-01,1966-12-01|2021-02-25
1561,BAMBERTON OCEAN CEMENT,16,BC,88,1961-01-01|1980-12-01,1961-02-01|1980-11-30
1562,BAMFIELD,230,BC,89,1903-01-01|1956-12-01,1903-02-01|1956-09-30
1563,BAMFIELD EAST,231,BC,90,1959-01-01|2001-09-01,1959-08-01|2001-09-30
1564,BAMFIELD WEST,232,BC,91,1955-01-01|1959-12-01,1955-10-01|1959-07-31
1565,BANKEIR,986,BC,92,1954-01-01|1959-12-01,1954-08-01|1959-07-31
1566,BANKIER CHAIN LAKE,987,BC,93,1974-01-01|1991-11-01,1974-05-01|1991-08-31
1567,BARKERVILLE,568,BC,94,1888-01-01|2007-02-01,1888-02-01|2021-01-29
1568,BARRIERE,1235,BC,95,1955-01-01|1996-10-01,1955-11-01|1996-10-31
1569,BARRIERE NORTH,1236,BC,96,1970-01-01|1984-12-01,1970-09-01|1984-09-30
1570,BAYNES LAKE KOOTENAY RIVER,1167,BC,97,1986-01-01|2007-02-01,1986-02-01|2017-09-07
1571,BEAR CREEK,17,BC,98,1910-01-01|1971-12-01,1910-11-01|1971-08-31
1572,BEARSKIN LAKE,1486,BC,99,1983-01-01|1989-12-01,1983-11-01|1990-01-31
1573,BEATTON RIVER,1394,BC,100,1977-01-01|1979-12-01,1977-04-01|1979-08-31
1574,BEATTON RIVER A,1395,BC,101,1944-01-01|1967-12-01,1944-12-01|1967-07-31
1575,BEAVER LAKE,18,BC,102,1894-01-01|1952-12-01,1894-12-01|1952-06-30
1576,BEAVERDELL,1077,BC,103,1925-01-01|2000-10-01,1925-09-01|2000-10-31
1577,BEAVERDELL NORTH,1078,BC,104,1975-01-01|2006-09-01,1975-05-01|2006-09-30
1578,BECHER BAY,19,BC,105,1956-01-01|1966-12-01,1956-12-01|1966-04-30
1579,BELLA BELLA,49388,BC,106,|,2011-08-25|2021-02-25
1580,BELLA BELLA,378,BC,107,1933-01-01|1977-12-01,1933-04-01|1977-10-31
1581,BELLA BELLA A,44766,BC,108,2006-04-01|2007-02-01,2006-04-01|2011-08-25
1582,BELLA BELLA SHEARWATER,379,BC,109,1960-01-01|1964-12-01,1960-04-01|1964-06-30
1583,BELLA COOLA,380,BC,110,1895-01-01|2002-10-01,1895-05-01|2002-10-31
1584,BELLA COOLA A,51419,BC,111,|,|
1585,BELLA COOLA A,381,BC,112,1983-01-01|2007-02-01,1983-02-01|2017-11-18
1586,BELLA COOLA A,52978,BC,113,|,2018-10-29|2021-02-25
1587,BELLA COOLA AIRPORT,54338,BC,114,|,2015-12-09|2021-02-25
1588,BELLA COOLA BC HYDRO,382,BC,115,1961-01-01|1985-12-01,1961-08-01|1985-11-30
1589,BENNETT,1487,BC,116,1974-01-01|1974-12-01,1972-09-01|1974-07-31
1590,BENSON LAKE,233,BC,117,1959-01-01|1972-12-01,1959-06-01|1972-12-31
1591,BIG CREEK,507,BC,118,1893-01-01|1998-11-01,1893-01-01|1998-11-30
1592,BIG CREEK (AUT),10811,BC,119,|,1995-05-24|2011-09-28
1593,BIG OLIVER CREEK,457,BC,120,1973-01-01|1975-12-01,1973-06-01|1975-05-31
1594,BIG WHITE,1079,BC,121,1981-01-01|1999-04-01,1981-02-01|1999-04-30
1595,BIG WHITE MTN LODGE,1080,BC,122,1965-01-01|1968-12-01,1965-03-01|1968-06-30
1596,BILLINGS,1100,BC,123,1984-01-01|2007-02-01,1984-11-01|2021-02-25
1597,BIRCHBANK,1101,BC,124,1924-01-01|1945-12-01,1924-01-01|1945-05-31
1598,BIRKENHEAD LAKE,936,BC,125,1983-01-01|1985-12-01,1983-07-01|1985-07-31
1599,BLACK CREEK,139,BC,126,1964-01-01|2005-04-01,1964-04-01|2008-12-31
1600,BLACK CREEK SE,45507,BC,127,2006-08-01|2007-02-01,2006-08-01|2016-02-17
1601,BLACKCOMB BASE SLIDING CENTER,45787,BC,128,|,2007-04-30|2018-05-14
1602,BLACKCOMB BASE SLIDING CENTRE BOTTOM,47807,BC,129,|,2008-12-16|2010-03-10
1603,BLACKCOMB MOUNTAIN 1540,700,BC,130,1983-01-01|1994-12-01,1983-12-01|1994-05-31
1604,BLACKCOMB MOUNTAIN 1860,715,BC,131,1981-01-01|1990-12-01,1980-11-01|1994-05-31
1605,BLACKDOME MOUNTAIN,498,BC,132,1986-01-01|1991-11-01,1986-08-01|1991-10-31
1606,BLACKWATER CREEK,1396,BC,133,1989-01-01|1997-08-01,1989-10-01|1997-08-31
1607,BLAKEBURN,988,BC,134,1973-01-01|1973-12-01,1973-10-01|1973-11-30
1608,BLIND CHANNEL,140,BC,135,1956-01-01|1993-12-01,1956-05-01|1993-12-31
1609,BLUE RIVER A,1237,BC,136,1969-01-01|2007-02-01,1969-12-01|2021-02-25
1610,BLUE RIVER A,53424,BC,137,|,2018-10-29|2021-02-25
1611,BLUE RIVER A,53423,BC,138,|,|
1612,BLUE RIVER CS,8214,BC,139,1997-05-01|2006-10-01,1992-12-02|2021-02-25
1613,BLUE RIVER NORTH,1238,BC,140,1929-01-01|1985-12-01,1929-01-01|1985-09-30
1614,BOAT BLUFF,383,BC,141,1974-01-01|2007-02-01,1974-06-01|2021-02-16
1615,BOB QUINN,1483,BC,142,1974-01-01|1974-12-01,1974-09-01|1974-10-31
1616,BOB QUINN AGS,1484,BC,143,1977-01-01|1994-12-01,1977-12-01|1994-04-30
1617,BOB QUINN LAKE 2,6947,BC,144,1991-01-01|1991-12-01,1991-09-01|1991-09-30
1618,BOBBIE BURNS,1350,BC,145,1981-01-01|2000-12-01,1981-02-01|2001-12-31
